Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,mean_duration,days_of_leaves,overtime_count
37,No,Travel_Frequently,Sales,9,1,Marketing,37,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,9.70209393128068,7,242
42,No,Travel_Frequently,Sales,2,2,Marketing,38,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,5.523295403837572,19,0
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,6.177288041053101,22,0
35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,7.38131860776439,10,34
36,No,Travel_Frequently,Research & Development,8,3,Other,41,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,3.0,2.0,3.0,2,3,7.060059125390451,5,0
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,7.167754350736279,14,26
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,6.757186523873271,7,0
18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,6.755545515394912,9,0
28,No,Travel_Rarely,Research & Development,9,3,Medical,45,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,7.056963409192324,5,1
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,6.913614457831325,9,2
39,No,Travel_Rarely,Sales,5,4,Marketing,47,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,7.207423025435074,14,28
36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,7.455297858099063,12,62
32,No,Travel_Rarely,Sales,2,3,Marketing,49,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,6.3585207496653275,22,0
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,6.323954707719768,21,0
58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,10.589165551093263,7,242
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,8.685874609549309,12,237
31,No,Travel_Rarely,Sales,7,4,Marketing,53,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,6.557103971441321,10,0
45,No,Travel_Frequently,Research & Development,3,1,Medical,54,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,6.934087460954931,13,5
31,No,Travel_Rarely,Sales,16,4,Marketing,55,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,8.437890450691658,5,237
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,6.457864792503346,12,0
39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,10.809616242748772,4,245
43,No,Travel_Frequently,Research & Development,7,4,Medical,58,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,7.007448683623383,22,39
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,9.70912539045069,6,243
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,7.5880365908076755,10,93
27,No,Travel_Rarely,Research & Development,15,4,Medical,61,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,10.458109103078982,5,244
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,10.074638554216868,10,239
27,No,Travel_Rarely,Research & Development,13,2,Medical,63,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,9.341363230700582,18,231
31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,6.447809013833109,6,0
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,7.136569611780455,12,12
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,10.64107318161535,2,247
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,5.762560240963856,17,0
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,6.025345827755467,22,0
39,No,Travel_Frequently,Research & Development,19,4,Medical,69,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,5.563791834002678,21,0
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,9.851604194556002,3,246
33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,7.212816822846944,7,5
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,6.337332663989291,6,0
43,No,Travel_Frequently,Research & Development,14,3,Medical,73,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,5.9452833556448015,14,0
27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,8.643457161981258,18,231
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,5.681542838018742,17,0
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,6.898489513609996,11,0
45,No,Travel_Rarely,Sales,3,1,Marketing,77,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,6.900469656403391,7,0
40,No,Travel_Rarely,Research & Development,2,4,Other,78,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,9.197425256581884,18,231
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,9.678278670236503,19,230
29,No,Travel_Rarely,Human Resources,8,3,Medical,80,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,6.629551539491298,10,0
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,7.070961624274878,17,20
27,No,Travel_Rarely,Research & Development,11,2,Medical,82,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,5.957641677822401,5,0
37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,5.6878012048192765,13,0
38,No,Travel_Rarely,Research & Development,28,4,Medical,84,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,8.730585676037483,7,242
31,No,Travel_Rarely,Research & Development,6,3,Medical,85,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,3.0,3,3,9.9655901383311,11,238
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,8.219101963409193,5,225
35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,7.403634538152611,16,95
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,6.762868139223561,12,1
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,9.299531459170012,10,239
47,No,Travel_Frequently,Sales,1,3,Medical,90,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,7.4582853636769295,10,52
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,5.981423471664435,12,0
29,No,Non-Travel,Sales,22,4,Marketing,92,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,5.900896921017402,16,0
42,No,Travel_Rarely,Sales,7,4,Medical,93,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,8.08675256581883,21,227
32,No,Travel_Rarely,Research & Development,2,3,Medical,94,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,7.1641331994645245,18,45
48,No,Travel_Rarely,Sales,13,4,Medical,95,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,6.847280232039267,16,1
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,10.711529451137885,2,247
30,No,Non-Travel,Sales,25,4,Other,97,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,10.23427376171352,4,245
26,No,Travel_Rarely,Sales,28,3,Medical,98,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,5.849885095939312,6,0
42,No,Travel_Rarely,Sales,2,2,Medical,99,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,5.86760374832664,10,0
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,7.970253235162874,5,170
36,No,Non-Travel,Human Resources,28,3,Human Resources,101,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,6.807350513163766,17,2
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,6.791153502900491,11,0
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,103,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,5.971953369031682,14,0
40,No,Travel_Rarely,Research & Development,8,3,Other,104,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,7.60619812583668,16,155
21,No,Non-Travel,Research & Development,1,5,Life Sciences,105,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,7.344952030343596,20,107
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,106,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,9.749403168228469,18,231
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,107,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,7.415456269522534,18,108
46,No,Non-Travel,Sales,2,4,Marketing,108,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,5.588887773315484,21,0
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,109,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,7.10033244087461,16,15
50,No,Travel_Rarely,Research & Development,9,3,Medical,110,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,6.364553770638108,19,0
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,111,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,8.735999553770638,15,234
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,112,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3.0,2.0,3.0,3,4,10.67588464970995,3,246
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,113,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,5.5377532351628735,19,0
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,114,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,7.663491744756805,4,57
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,115,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,7.314774654172244,13,37
27,No,Travel_Rarely,Sales,2,3,Life Sciences,116,1,Sales Executive,Divorced,23670,3.0,12,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,5.8165919232485495,15,0
28,No,Travel_Rarely,Research & Development,2,2,Medical,117,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,6.634467871485944,17,3
49,No,Travel_Rarely,Sales,2,3,Technical Degree,118,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,7.5423549754573855,9,71
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,119,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,6.976801651048639,21,27
36,No,Travel_Rarely,Sales,15,2,Life Sciences,120,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,5.640869031682284,15,0
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,121,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,8.600741856314146,14,235
55,No,Travel_Rarely,Sales,26,3,Marketing,122,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,8.230750780901381,13,231
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,123,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,9.230603525211961,19,230
30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,124,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,6.401705711735832,18,0
26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,125,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3.0,2.0,3.0,3,3,6.7463688085676035,9,0
22,No,Travel_Rarely,Research & Development,16,5,Other,126,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,5.831803882195448,18,0
36,No,Travel_Rarely,Research & Development,1,3,Medical,127,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,6.033781793842036,13,0
30,Yes,Travel_Frequently,Sales,3,2,Marketing,128,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,7.895576751450245,9,175
37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,129,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,6.218881079875056,9,0
40,No,Travel_Rarely,Research & Development,6,2,Medical,130,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,6.173039937527889,19,0
42,No,Travel_Rarely,Research & Development,2,3,Medical,131,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,7.061936635430612,14,9
37,No,Travel_Rarely,Sales,9,1,Marketing,132,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,9.760771976796073,4,245
43,No,Travel_Rarely,Sales,10,2,Life Sciences,133,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,6.998694779116467,14,2
40,No,Travel_Rarely,Sales,6,2,Life Sciences,134,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,7.164219098616688,11,10
54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,135,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,5.468940205265506,22,0
34,No,Non-Travel,Research & Development,28,3,Medical,136,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,6.446319723337795,15,0
31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,137,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3,5.7132652833556445,17,0
43,No,Travel_Frequently,Sales,14,3,Life Sciences,138,1,Manufacturing Director,Married,37480,7.0,14,2,9.0,3,3,1,2,4.0,4.0,3.0,2,3,6.9967101740294515,22,22
43,No,Travel_Rarely,Sales,27,4,Life Sciences,139,2,Sales Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3,8.486725792057117,11,238
25,No,Travel_Rarely,Human Resources,7,2,Human Resources,140,1,Manufacturing Director,Single,86330,1.0,19,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3,10.151952253458276,17,232
37,No,Non-Travel,Research & Development,1,3,Medical,141,3,Laboratory Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4,10.004965417224454,16,233
31,No,Travel_Rarely,Research & Development,24,1,Medical,142,3,Laboratory Technician,Married,44400,1.0,13,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3,6.578286479250334,17,0
39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,143,1,Sales Executive,Divorced,30670,1.0,20,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4,8.864453369031684,4,245
56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,144,3,Sales Executive,Married,53210,9.0,14,0,36.0,1,7,7,7,3.0,1.0,2.0,3,3,7.122437527889335,10,8
