CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,4,3336,1753
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,4,3436,2016
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,2,34516,0
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,5,5926,1251
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,2,23957,2102
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,4,14734,1634
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,4,34516,1515
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,5,6584,1817
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,6,2084,1468
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,2,1687,1107
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,6,25300,1330
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,3,34516,1763
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,5,2216,1034
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,4,2910,2030
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,6,22913,1528
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,3,24312,1932
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,5,5272,1515
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,6,7000,2517
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,4,7038,1801
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,6,2536,1823
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,6,28904,1899
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,4,8567,1695
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,6,34516,1533
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,2,2158,0
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,2,10133,1417
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,5,34516,1219
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,5,3085,1910
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,4,19040,2056
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,5,4026,0
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,4,12756,837
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,5,5266,0
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,3,9930,0
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,4,31302,1953
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,4,6576,0
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,5,2664,2037
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,5,2535,2440
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,6,1709,895
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,5,3454,1200
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,5,3789,1706
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,3,9689,2250
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,2,5449,1628
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,4,23032,1960
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,5,34516,2053
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,6,2940,1264
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,3,3031,1879
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,3,1862,0
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,2,8358,926
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,6,34516,931
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,5,14450,2440
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,6,1438.3,0
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,6,33791,1960
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,4,8466,1886
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,5,15088,865
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,5,3263,1674
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,2,1494,706
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,6,13551,1294
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,6,18886,895
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,3,11976,1273
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,4,9964,1559
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,4,24159,1196
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,3,5362,1901
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,3,34516,1023
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,4,3174,1951
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,3,12262,1836
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,4,3788,1540
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,2,34516,1527
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,4,2926,0
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,6,32090,0
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,3,11669,2227
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,3,13532,1300
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,4,11888,2090
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,5,2393,1985
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,5,6111,2517
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,3,19270,1662
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,3,3710,2517
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,2,3235,797
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,3,11749,788
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,5,7753,2100
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,5,10408,1186
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,6,3967,1568
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,4,6205,2517
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,1,8025,0
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,6,9036,2327
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,2,14926,2517
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,3,6335,1128
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,2,14979,0
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,3,2732,0
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,6,2250,2117
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,3,10916,1536
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,4,5349,1228
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,4,9366,1104
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,5,21617,0
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,5,13860,1652
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,2,18386,0
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,6,2405,1540
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,4,2154,930
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,3,2038,0
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,6,8135,0
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,6,9364,618
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,4,32643,0
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,2,3195,1954
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,5,2852,1024
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,2,4224,1305
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,3,20459,2071
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,6,3482,2114
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,5,3065,1570
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,3,2185,1761
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,4,1611,746
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,3,2822,2173
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,6,32975,2517
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,5,1438.3,0
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,4,15875,1719
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,6,6703,893
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,2,3212,0
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,3,34516,1260
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,4,9797,1434
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,5,10400,1777
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,2,26792,1836
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,4,3006,2517
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,6,19482,1072
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,4,3356,985
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,3,5771,2248
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,6,11106,2107
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,5,2890,2001
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,6,3380,1701
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,2,21331,1251
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,6,12860,0
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,3,6278,462
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,5,1438.3,738
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,5,9355,1626
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,6,20758,0
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,5,14612,1976
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,5,27259,0
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,4,6347,1594
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,3,21592,1676
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,5,3449,1598
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,2,6028,799
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,3,18214,1998
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,3,16393,1423
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,1,1438.3,900
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,4,7871,1687
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,5,5288,866
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,4,11376,2006
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,4,12302,1632
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,3,34516,1679
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,4,34516,1468
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,3,10514,1580
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,2,1438.3,0
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,3,1438.3,0
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,2,2619,1779
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,2,24407,2395
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,4,2377,1649
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,3,34516,1359
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,5,11086,2207
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,4,11432,2517
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,5,13258,1721
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,3,2571,1955
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,5,5781,1168
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,5,7872,2509
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,6,34516,1202
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,4,11127,1835
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,2,1857,1603
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,5,1913,1272
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,5,3839,2295
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,6,2115,1141
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,5,1438.3,679
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,4,27756,1789
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,4,1438.3,0
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,6,13878,2222
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,3,3106,1304
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,4,34516,1666
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,4,1438.3,1025
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,2,18871,1740
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,5,5207,1748
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,6,17965,1644
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,6,2733,1819
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,4,8863,1301
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,2,1857,1833
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,3,34516,0
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,5,11107,1222
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,4,21573,1585
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,2,2859,2517
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,4,5269,1475
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,2,1438.3,0
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,1,3387,0
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,6,1982,1289
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,2,4645,1650
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,6,2189,1666
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,3,2442,0
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,4,21304,1532
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,5,7577,2480
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,4,3234,1486
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,5,4469,1125
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,6,2910,709
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,2,3616,1054
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,3,3252,1495
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,4,2358,1152
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,4,22322,953
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,4,3133,1510
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,2,3540,849
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,6,6990,1378
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,2,34516,1652
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,1,1438.3,0
710620383,Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,6,24396,1171
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,2,2474,2143
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,5,5214,795
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,5,5207,1650
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,2,9512,1082
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,6,3187,2430
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,1,3353,0
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,3,2290,1434
807226683,Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,6,5279,1115
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,5,23603,0
720615708,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,6,2601,0
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,4,6363,1029
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,4,8029,1576
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,2,2410,1769
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,1,3401,0
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,4,2260,1007
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,5,17682,2481
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,3,4206,1100
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,4,34516,1440
719117433,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,4,23018,2168
716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,5,5556,1711
718621608,Attrited Customer,54,F,2,High School,Married,Unknown,Blue,3,6094,0
715085733,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,3,2939,1999
788977833,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,2,5362,1274
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,3,27126,0
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,6,3342,2517
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,6,2532,2221
709879458,Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,2,1900,1376
715120608,Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,2,14546,1703
770632758,Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,2,2521,1608
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,3,16427,1682
771742533,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,5,13068,1718
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,6,23218,1814
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,5,3281,837
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,5,3096,2217
712270158,Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,5,2052,1250
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,2,1438.3,583
754897008,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,2,9432,1418
819700533,Existing Customer,50,M,0,High School,Single,$120K +,Silver,5,14938,2303
712890408,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,5,2221,1343
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,6,5731,1577
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,2,34516,2061
717401883,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,5,6985,1130
721509558,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,3,24221,1707
710572458,Existing Customer,36,F,3,High School,Married,Unknown,Blue,4,15439,0
714576183,Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,6,21637,2030
721425558,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,2,14543,0
711109908,Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue,2,9684,2475
715203108,Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,2,5007,930
710027508,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,3,1616,1047
787464408,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,5,19116,0
